"CITY","WEATHER","VISIBILITY","TEMP","TEMP_MIN","TEMP_MAX","PRESSURE","HUMIDITY","WIND_SPEED","WIND_DEG","FORECAST_DATETIME"
"Seoul","Clouds",10000,18.86,18.65,18.86,1015,43,2.09,94,"2024-04-04 06:00:00"
"Seoul","Clouds",10000,17.18,16.29,17.18,1016,45,3.37,136,"2024-04-04 09:00:00"
"Seoul","Clouds",10000,14.26,14.26,14.26,1018,47,4.09,125,"2024-04-04 12:00:00"
"Seoul","Clouds",10000,13.3,13.3,13.3,1019,46,3.04,127,"2024-04-04 15:00:00"
"Seoul","Clouds",10000,12.46,12.46,12.46,1019,49,2.12,122,"2024-04-04 18:00:00"
"Seoul","Clouds",10000,12,12,12,1020,50,1.77,110,"2024-04-04 21:00:00"
"Seoul","Clouds",10000,12.66,12.66,12.66,1021,48,1.71,118,"2024-04-05 00:00:00"
"Seoul","Clouds",10000,16.7,16.7,16.7,1020,42,2,204,"2024-04-05 03:00:00"
"Seoul","Clouds",10000,17.97,17.97,17.97,1018,41,4.62,252,"2024-04-05 06:00:00"
"Seoul","Clear",10000,16.11,16.11,16.11,1018,42,3.52,259,"2024-04-05 09:00:00"
"Seoul","Clear",10000,13.59,13.59,13.59,1020,56,2.94,253,"2024-04-05 12:00:00"
"Seoul","Clouds",10000,12.2,12.2,12.2,1021,59,1.56,233,"2024-04-05 15:00:00"
"Seoul","Clouds",10000,11.22,11.22,11.22,1020,48,1.59,211,"2024-04-05 18:00:00"
"Seoul","Clouds",10000,10.32,10.32,10.32,1021,42,1.57,212,"2024-04-05 21:00:00"
"Seoul","Clouds",10000,12.42,12.42,12.42,1021,30,1.12,212,"2024-04-06 00:00:00"
"Seoul","Clouds",10000,16.73,16.73,16.73,1020,21,2.46,248,"2024-04-06 03:00:00"
"Seoul","Clouds",10000,17.84,17.84,17.84,1018,21,4.42,258,"2024-04-06 06:00:00"
"Seoul","Clear",10000,15.26,15.26,15.26,1018,25,4.17,261,"2024-04-06 09:00:00"
"Seoul","Clouds",10000,13.43,13.43,13.43,1019,32,2.19,235,"2024-04-06 12:00:00"
"Seoul","Clouds",10000,12.27,12.27,12.27,1020,37,1.18,205,"2024-04-06 15:00:00"
"Seoul","Clouds",10000,11.58,11.58,11.58,1020,40,1.23,202,"2024-04-06 18:00:00"
"Seoul","Clouds",10000,10.89,10.89,10.89,1020,41,0.99,165,"2024-04-06 21:00:00"
"Seoul","Clouds",10000,13.9,13.9,13.9,1021,33,0.47,202,"2024-04-07 00:00:00"
"Seoul","Clouds",10000,18.65,18.65,18.65,1020,25,1.69,256,"2024-04-07 03:00:00"
"Seoul","Clouds",10000,20.63,20.63,20.63,1018,22,3.75,263,"2024-04-07 06:00:00"
